#,Success,Message
2017-05-01T18:08:33.407581,0
2017-05-01T18:08:34.479440,-1,2
2017-05-01T18:08:36.603015,-1,#
2017-05-01T18:08:38.731390,-1,6
2017-05-01T18:08:39.819947,-1,2
2017-05-01T18:08:40.936691,-1,3
2017-05-01T18:08:47.187953,-1,435
2017-05-01T18:08:52.373213,-1,49
2017-05-01T18:08:53.447309,-1,2
2017-05-01T18:08:54.521891,-1,9
2017-05-01T18:09:00.666643,-1,8
2017-05-01T18:09:02.745464,-1,1
2017-05-01T18:09:04.825963,-1,3
2017-05-01T18:09:09.964493,-1,0
2017-05-01T18:09:11.079144,-1,3
2017-05-01T18:09:20.238781,-1,#
2017-05-01T18:09:20.315066,-1,2
2017-05-01T18:09:23.491902,-1,41
2017-05-01T18:10:32.539807,0,Start
2017-05-01T18:10:32.602504,-1,3
2017-05-01T18:10:32.670780,-1,3
2017-05-01T18:10:32.737391,-1,2
2017-05-01T18:10:35.859968,-1,#
2017-05-01T18:10:37.943009,-1,3
2017-05-01T18:10:38.012913,-1,3
2017-05-01T18:10:49.133894,-1,8
2017-05-01T18:10:50.249917,-1,#
2017-05-01T18:10:53.339639,-1,0
2017-05-01T18:10:58.471043,-1,3
2017-05-01T18:10:59.546039,-1,3
2017-05-01T18:11:00.648945,-1,1
2017-05-01T18:11:01.724844,-1,3
2017-05-01T18:11:02.799168,-1,2
2017-05-01T18:11:03.868768,-1,1
2017-05-01T18:11:05.975277,-1,*
2017-05-01T18:11:07.087373,-1,1
2017-05-01T18:11:08.162371,-1,2
2017-05-01T18:11:10.270427,-1,7
2017-05-01T18:11:11.344310,-1,3
2017-05-01T18:11:15.455173,-1,1
2017-05-01T18:11:15.571715,-1,7
2017-05-01T18:11:16.646917,-1,1
2017-05-01T18:11:19.730413,-1,6
2017-05-01T18:11:20.850641,-1,6
2017-05-01T18:11:21.927945,-1,2
2017-05-01T18:11:26.132791,-1,42
2017-05-01T18:11:31.282688,-1,3
2017-05-01T18:11:35.506862,-1,42
2017-05-01T18:11:38.640758,-1,6
2017-05-01T18:11:39.719011,-1,3
2017-05-01T18:11:42.841082,-1,*
2017-05-01T18:11:44.922420,-1,2
2017-05-01T18:11:49.056382,-1,1
2017-05-01T18:11:50.172064,-1,5
2017-05-01T18:11:54.258680,-1,1
2017-05-01T18:11:56.381326,-1,*
2017-05-01T18:12:01.524245,-1,9
2017-05-01T18:12:08.664806,-1,6
2017-05-01T18:12:12.796436,-1,7
2017-05-01T18:12:17.943891,-1,1
2017-05-01T18:12:21.069165,-1,1
2017-05-01T18:12:24.196607,-1,6
2017-05-01T18:12:25.297346,-1,1
2017-05-01T18:12:26.369049,-1,2
2017-05-01T18:12:32.562224,-1,48
2017-05-01T18:12:33.635529,-1,1
2017-05-01T18:12:39.777866,-1,2
2017-05-01T18:12:40.889637,-1,1
2017-05-01T18:15:27.662619,0,Start
2017-05-01T18:15:30.759708,-1,6
2017-05-01T18:15:33.843230,-1,7
2017-05-01T18:15:37.970263,-1,0
2017-05-01T18:15:38.036384,-1,2
2017-05-01T18:15:38.104213,-1,2
2017-05-01T18:15:39.173831,-1,7
2017-05-01T18:15:42.286194,-1,9
